,ZipCode,BuildingCategoryNum,BuildingClassAtTimeOfSale,TaxClassAtTimeOfSale,Baths,Beds,YearBuilt,NumComplaints3moPointOneMile,NumFelonies3moPointOneMile,min_dist_park,min_dist_subway,halfMileAvgPrice6mo,SalePrice
2935,10010,10,D4,2,2,2,2005,25,28,0.24268657,0.123947609,1927546.43,1850000
2936,10010,10,D4,2,2,2,2005,25,28,0.24268657,0.123947609,1927546.43,1850000
2937,10003,10,D4,2,1,1,1965,0,44,0.074848523,0.101838737,,800000
2938,10003,10,D4,2,1,1,1965,7,30,0.074848523,0.101838737,1931646.02,870000
2939,10003,10,D4,2,1,1,1965,5,40,0.074848523,0.101838737,1958814.61,819000
2940,10016,10,D4,2,2,2,1910,0,14,0.113063151,0.109050343,,1695000
2941,10011,13,R4,2,6,5,0,4,24,0.262768967,0.139401446,1861924.42,5250000
2942,10011,13,R4,2,6,5,0,1,25,0.262768967,0.139401446,1714337.1,5400000
2943,10011,13,R4,2,6,5,0,7,19,0.262768967,0.139401446,2265893.92,5700000
2944,10011,13,R4,2,6,5,0,3,21,0.262768967,0.139401446,1860404.8,6500000
2945,10011,13,R4,2,6,5,0,11,29,0.262768967,0.139401446,2895480.69,4725000
2946,10011,13,R4,2,6,5,0,8,22,0.262768967,0.139401446,2457077.65,4283333
2947,10011,13,R4,2,6,5,0,0,23,0.262768967,0.139401446,,4600000
2948,10011,13,R4,2,6,5,0,12,12,0.262768967,0.139401446,1996360.04,5100000
2949,10011,13,R4,2,6,5,0,12,12,0.262768967,0.139401446,1996360.04,5100000
2950,10011,13,R4,2,3,2,2008,0,22,0.292690322,0.20398362,,2573268
2951,10011,13,R4,2,3,2,2007,0,22,0.292690322,0.20398362,,4549640
2952,10011,13,R4,2,3,2,2008,0,32,0.292690322,0.20398362,,5200000
2953,10011,13,R4,2,3,2,2008,25,15,0.292690322,0.20398362,3074901.49,2360000
2954,10010,10,D4,2,2,2,1931,0,19,0.286149511,0.091381874,,1650000
2955,10010,10,D4,2,2,2,1931,4,0,0.286149511,0.091381874,1948476.49,2042000
2956,10010,10,D4,2,2,1,1987,0,18,0.229072368,0.134899097,,975000
2957,10010,10,D4,2,2,2,1987,0,20,0.229072368,0.134899097,,1090000
2958,10010,10,D4,2,2,2,1987,15,17,0.229072368,0.134899097,1490536.49,1250000
2959,10010,10,D4,2,1,0,1925,2,15,0.311194323,0.187144524,1212687.03,275000
2960,10010,10,D4,2,1,0,1925,0,0,0.311194323,0.187144524,,320000
2961,10016,10,D4,2,1,1,1963,0,15,0.326552111,0.174121143,,567600
2962,10016,10,D4,2,1,1,1931,0,9,0.312991606,0.142573443,,995000
2963,10003,10,D4,2,1,1,1963,32,27,0.108248687,0.044501516,1537992.51,568250
2964,10003,10,D4,2,1,1,1963,12,22,0.108248687,0.044501516,1505163.08,775000
2965,10003,10,D4,2,1,1,1930,14,20,0.107448801,0.108000263,1512802.73,730000
2966,10003,10,D4,2,1,1,1930,10,16,0.107448801,0.108000263,1475481.62,825000
2967,10003,10,D4,2,1,1,1930,10,16,0.107448801,0.108000263,1475481.62,825000
2968,10003,10,D4,2,1,1,1973,5,25,0.108356833,0.166839679,1246047.86,790000
2969,10003,10,D4,2,1,1,1973,0,0,0.108356833,0.166839679,,810000
2970,10010,10,D4,2,1,1,1930,27,58,0.247531239,0.236695097,1446325.75,575000
2971,10010,10,D4,2,1,1,1964,3,23,0.314901765,0.318356385,1095665.36,599000
2972,10010,10,D4,2,1,1,1965,0,7,0.356069526,0.240855389,,670000
2973,10016,10,D4,2,1,0,1965,0,5,0.378778306,0.235918027,,430000
2974,10016,10,D4,2,1,1,1965,0,31,0.378778306,0.235918027,,675000
2975,10016,10,D4,2,1,2,1965,16,28,0.378778306,0.235918027,1180090.82,1040000
2976,10016,10,D4,2,1,2,1965,23,33,0.378778306,0.235918027,1210133.15,1135000
2977,10003,13,R4,2,2,1,0,5,13,0.064256567,0.191235902,1216120.36,1167822
2978,10003,13,R4,2,2,1,0,6,9,0.064256567,0.191235902,1412772.96,1030000
2979,10003,13,R4,2,2,1,0,6,9,0.064256567,0.191235902,1412772.96,1030000
2980,10003,13,R4,2,2,1,0,1,2,0.064256567,0.191235902,1729521.9,1830000
2981,10003,13,R4,2,2,1,0,0,4,0.064256567,0.191235902,,2295000
2982,10003,1,A9,1,7,6,1900,0,16,0.203835128,0.196292927,,18250000
2983,10012,10,D0,2,1,2,1900,21,18,0.449233527,0.100550631,2226673.94,2200000
2984,10012,10,D0,2,1,2,1900,13,13,0.449233527,0.100550631,2912590.47,2350000
2985,10012,10,D0,2,1,0,1930,18,23,0.273955717,0.104542954,2210852.76,512500
2986,10012,10,D0,2,1,0,1930,0,14,0.273955717,0.104542954,,535000
2987,10012,10,D0,2,1,0,1930,0,15,0.273955717,0.104542954,,775000
2988,10012,10,D0,2,1,1,1930,0,19,0.273955717,0.104542954,,635000
2989,10012,10,D0,2,1,1,1930,1,15,0.273955717,0.104542954,2828648.45,975000
2990,10012,10,D0,2,1,1,1930,0,14,0.273955717,0.104542954,,835000
2991,10012,10,D0,2,1,1,1930,8,0,0.273955717,0.104542954,2895736.61,850000
2992,10012,10,D0,2,2,2,1930,0,14,0.273955717,0.104542954,,4850000
2993,10012,10,D0,2,2,2,1930,0,14,0.273955717,0.104542954,,20900000
2994,10003,10,D4,2,1,0,1952,6,13,0.186487567,0.071477948,2471971.13,380000
2995,10003,10,D4,2,1,0,1952,4,19,0.186487567,0.071477948,1758608.39,620000
2996,10003,10,D4,2,1,0,1952,4,19,0.186487567,0.071477948,1758608.39,620000
2997,10003,10,D4,2,1,2,1952,0,7,0.185535529,0.074029426,,800000
2998,10003,10,D4,2,1,1,1965,0,22,0.383658478,0.072211987,,950000
2999,10003,10,D4,2,2,2,1925,5,9,0.225577155,0.114803749,2148578.33,1640000
3000,10003,10,D0,2,1,1,1900,13,15,0.249670683,0.14276005,2060587.33,782500
3001,10003,10,D0,2,1,1,1900,4,16,0.249670683,0.14276005,1682585.35,955000
3002,10003,10,D4,2,1,2,1963,8,24,0.199390967,0.113644528,1560993.29,1310000
3003,10003,10,D4,2,1,2,1963,0,0,0.199390967,0.113644528,,1475000
3004,10003,10,D4,2,1,0,1964,4,10,0.162349391,0.169371543,2195308.92,735000
3005,10003,10,D4,2,1,0,1964,5,14,0.162349391,0.169371543,1847064.22,750000
3006,10003,10,D4,2,1,0,1964,5,14,0.162349391,0.169371543,1847064.22,750000
3007,10003,10,D4,2,2,1,1924,13,12,0.243054475,0.225774059,2219480.28,1235000
3008,10011,10,D4,2,1,1,1926,11,19,0.231448976,0.16352575,1817288.46,1175000
3009,10011,10,D4,2,1,1,1923,1,8,0.259077567,0.201841228,2260902.01,1100000
3010,10012,13,R4,2,1,1,1910,39,31,0.224229316,0.248729821,2225305.21,1120000
3011,10012,13,R4,2,1,1,1910,0,29,0.224229316,0.248729821,,1160000
3012,10012,13,R4,2,1,1,1910,69,30,0.224229316,0.248729821,2216115.58,1205000
3013,10012,13,R4,2,1,1,1910,0,7,0.224229316,0.248729821,,1210000
3014,10012,13,R4,2,1,1,1910,16,24,0.224229316,0.248729821,1847297.05,1500000
3015,10012,13,R4,2,1,1,1910,0,41,0.224229316,0.248729821,,680000
3016,10012,13,R4,2,1,1,1910,13,22,0.224229316,0.248729821,2730943.39,700000
3017,10012,13,R4,2,1,1,1910,45,20,0.224229316,0.248729821,2459950.97,925000
3018,10012,13,R4,2,1,1,1910,0,34,0.224229316,0.248729821,,1090000
3019,10012,13,R4,2,1,1,1910,0,38,0.224229316,0.248729821,,1200000
3020,10012,13,R4,2,1,1,1910,45,27,0.224229316,0.248729821,2241843.43,705000
3021,10012,13,R4,2,1,1,1910,90,38,0.224229316,0.248729821,2102131.63,740000
3022,10012,13,R4,2,1,1,1910,23,25,0.224229316,0.248729821,2440407.06,750000
3023,10012,13,R4,2,1,1,1910,0,20,0.224229316,0.248729821,,935000
3024,10012,13,R4,2,1,1,1910,0,21,0.224229316,0.248729821,,1100000
3025,10012,13,R4,2,1,1,1910,0,24,0.224229316,0.248729821,,1162500
3026,10012,13,R4,2,1,1,1910,0,24,0.224229316,0.248729821,,1300000
3027,10012,13,R4,2,1,1,1910,0,24,0.224229316,0.248729821,,730000
3028,10012,13,R4,2,1,1,1910,0,42,0.224229316,0.248729821,,740000
3029,10012,13,R4,2,1,1,1910,35,30,0.224229316,0.248729821,2929091.72,1050000
3030,10012,13,R4,2,1,1,1910,28,28,0.224229316,0.248729821,2647248.51,1226000
3031,10012,13,R4,2,1,1,1910,17,25,0.224229316,0.248729821,3062756.4,1242000
3032,10012,13,R4,2,1,1,1910,0,29,0.224229316,0.248729821,,1375000
3033,10012,13,R4,2,1,1,1910,0,27,0.224229316,0.248729821,,1630000
3034,10003,17,R9,2,1,0,1955,4,7,0.197183083,0.130138237,2324735.35,585000
3035,10003,17,R9,2,1,0,1955,1,9,0.197183083,0.130138237,1998668.47,830000
3036,10003,17,R9,2,1,0,1955,2,16,0.197183083,0.130138237,1988119.73,975000
3037,10003,17,R9,2,1,0,1955,0,12,0.197183083,0.130138237,,1883762
3038,10003,17,R9,2,1,0,1955,0,13,0.197183083,0.130138237,,1150000
3039,10003,17,R9,2,1,0,1955,0,9,0.197183083,0.130138237,,1255000
3040,10003,17,R9,2,1,0,1955,1,13,0.197183083,0.130138237,2724246.75,1425000
3041,10003,17,R9,2,1,0,1955,2,0,0.197183083,0.130138237,1974469.06,940000
3042,10003,17,R9,2,1,0,1955,1,0,0.197183083,0.130138237,1573317.29,1600000
3043,10003,17,R9,2,0,1,1954,0,36,0.249632212,0.054635626,,809508
3044,10003,17,R9,2,0,1,1954,0,36,0.249632212,0.054635626,,819691
3045,10003,17,R9,2,0,1,1954,4,35,0.249632212,0.054635626,1859062.69,940000
3046,10003,17,R9,2,0,1,1954,0,24,0.249632212,0.054635626,,359000
3047,10003,17,R9,2,0,1,1954,0,26,0.249632212,0.054635626,,380000
3048,10003,17,R9,2,0,1,1954,0,23,0.249632212,0.054635626,,795000
3049,10003,17,R9,2,0,1,1954,0,22,0.249632212,0.054635626,,1261406
3050,10003,17,R9,2,0,1,1954,3,18,0.249632212,0.054635626,2102056.26,655931
3051,10003,17,R9,2,0,1,1954,0,33,0.249632212,0.054635626,,730000
3052,10003,17,R9,2,0,1,1954,13,24,0.249632212,0.054635626,1772885.45,1060000
3053,10003,17,R9,2,0,1,1954,4,22,0.249632212,0.054635626,1699400.13,450000
3054,10003,17,R9,2,1,1,1959,0,30,0.208019097,0.087417413,,1132500
3055,10003,17,R9,2,1,1,1959,3,16,0.208019097,0.087417413,1705551.75,1235000
3056,10003,17,R9,2,1,1,1959,0,15,0.208019097,0.087417413,,1250000
3057,10003,17,R9,2,1,1,1959,0,15,0.208019097,0.087417413,,1500000
3058,10003,17,R9,2,1,1,1959,0,21,0.208019097,0.087417413,,1220000
3059,10011,17,R9,2,1,1,1900,1,7,0.298523871,0.151811066,1693412.48,490000
3060,10014,1,A9,1,3,3,1899,0,12,0.405493362,0.059670338,,5137500
3061,10014,1,A9,1,3,3,1899,0,11,0.405493362,0.059670338,,5430000
3062,10011,1,A4,1,7,4,1899,4,11,0.434659279,0.07291112,1592728.89,22300000
3063,10011,2,B1,1,6,4,1899,0,7,0.380193009,0.082076726,,9500000
3064,10014,3,C0,1,6,5,1901,0,7,0.468496298,0.177774503,,17000000
3065,10014,3,C0,1,6,5,1901,2,12,0.468496298,0.177774503,4569068.03,15500000
3066,10014,9,C6,2,1,0,1920,0,32,0.255606509,0.116139903,,319000
3067,10014,9,C6,2,1,2,1960,3,7,0.645306187,0.30742069,3067702.43,1275080
3068,10014,9,C6,2,1,2,1960,4,3,0.645306187,0.30742069,2729171.08,1400000
3069,10014,9,C6,2,2,1,1915,0,10,0.656643921,0.162653424,,425000
3070,10014,9,C6,2,1,1,1947,0,3,0.662329035,0.215413955,,730000
3071,10014,9,C6,2,1,1,1947,26,14,0.662329035,0.215413955,1734045.83,820000
3072,10014,9,C6,2,1,1,1947,26,14,0.662329035,0.215413955,1734045.83,820000
3073,10014,9,C6,2,1,2,1900,35,15,0.632171983,0.289348528,2936016.81,859000
3074,10014,9,C6,2,1,2,1900,0,9,0.632171983,0.289348528,,875000
3075,10011,10,D4,2,1,0,1959,8,15,0.362782996,0.123815389,2085326.91,445000
3076,10011,10,D4,2,1,0,1959,5,13,0.362782996,0.123815389,1787878.68,610000
3077,10011,10,D4,2,1,0,1959,11,19,0.362782996,0.123815389,1813764.59,630000
3078,10011,10,D4,2,1,0,1959,11,19,0.362782996,0.123815389,1813764.59,630000
3079,10011,10,D4,2,1,0,1961,9,22,0.35671527,0.08095004,1976077.77,449000
3080,10011,10,D4,2,1,0,1961,0,0,0.35671527,0.08095004,,530000
3081,10014,10,D4,2,1,2,1962,0,23,0.459801614,0.116755512,,1600000
3082,10014,10,D4,2,1,0,1968,0,8,0.619018012,0.285459552,,770000
3083,10014,10,D4,2,1,1,1987,5,11,0.695326921,0.358981498,2657680.08,1350000
3084,10014,10,D4,2,1,1,1987,17,10,0.695326921,0.358981498,2833373.26,1310000
3085,10014,10,D4,2,1,1,1987,17,10,0.695326921,0.358981498,2833373.26,1310000
3086,10014,12,R2,2,1,1,1900,0,7,0.414157246,0.151315574,,705000
3087,10014,12,R2,2,1,1,1900,0,9,0.414157246,0.151315574,,905000
3088,10014,12,R2,2,1,1,1900,0,5,0.414157246,0.151315574,,895041
3089,10014,12,R2,2,1,1,1900,0,9,0.414157246,0.151315574,,901151
3090,10014,12,R2,2,1,1,1900,0,9,0.414157246,0.151315574,,921516
3091,10014,12,R2,2,1,1,1900,0,10,0.414157246,0.151315574,,921516
3092,10014,13,R4,2,1,5,1905,3,9,0.679337287,0.345682871,2455117.78,3000000
3093,10014,13,R4,2,1,5,1905,8,5,0.679337287,0.345682871,2675110.22,3550000
3094,10014,13,R4,2,1,5,1905,3,5,0.679337287,0.345682871,4308549.25,3800000
3095,10014,13,R4,2,1,5,1905,2,4,0.679337287,0.345682871,4305352.55,12000000
3096,10014,13,R4,2,2,2,2004,0,8,0.687554287,0.359116306,,10000000
3097,10014,13,R4,2,2,2,2004,0,8,0.687554287,0.359116306,,10000000
3098,10014,13,R4,2,2,2,2004,8,2,0.687554287,0.359116306,2490723.58,8600000
3099,10014,13,R4,2,2,2,2004,0,1,0.687554287,0.359116306,,7350000
