,Address,latitude,longitude,GeoCode
167,"147 WEST 15TH STREET, New York, NY",40.739037700000004,-73.9980848,"(-73.998084800000001, 40.739037700000004)"
168,"155 WEST 15TH STREET, New York, NY",40.7390863,-73.99829140000001,"(-73.998291400000014, 40.739086299999997)"
169,"575 6TH AVENUE, New York, NY",40.7389346,-73.9960954,"(-73.996095400000002, 40.7389346)"
170,"121 WEST 17TH STREET, New York, NY",40.739900299999995,-73.99637059999999,"(-73.996370599999992, 40.739900299999995)"
171,"154 WEST 18TH STREET, New York, NY",40.7404842,-73.99735770000001,"(-73.997357700000009, 40.740484199999997)"
172,"135 WEST 17TH STREET, New York, NY",40.74010620000001,-73.9968943,"(-73.996894299999994, 40.740106200000007)"
173,"165 WEST 20TH STREET, New York, NY",40.742221799999996,-73.99645550000001,"(-73.99645550000001, 40.742221799999996)"
174,"143 WEST 20TH STREET, New York, NY",40.7420063,-73.99584229999999,"(-73.995842299999993, 40.7420063)"
175,"166 WEST 22ND STREET, New York, NY",40.7431417,-73.99581979999999,"(-73.995819799999992, 40.743141700000002)"
176,"166 WEST 22 STREET, New York, NY",40.7431417,-73.99581979999999,"(-73.995819799999992, 40.743141700000002)"
177,"148 WEST 23RD STREET, New York, NY",40.7434816,-73.9949859,"(-73.994985900000003, 40.743481600000003)"
178,"107 WEST 25TH STREET, New York, NY",40.7445359,-73.9922768,"(-73.992276799999999, 40.744535900000002)"
179,"143 WEST 27TH STREET, New York, NY",40.7463751,-73.9926272,"(-73.992627200000001, 40.746375100000002)"
180,"146 WEST 28TH STREET, New York, NY",40.746675,-73.992627,"(-73.992626999999999, 40.746675000000003)"
181,"368 WEST 23RD STREET, New York, NY",40.7462101,-74.0012555,"(-74.001255499999999, 40.746210099999999)"
182,"143 WEST 21ST STREET, New York, NY",40.7424604,-73.99530329999999,"(-73.995303299999989, 40.742460399999999)"
183,"136 WEST 24 STREET, New York, NY",40.7441206,-73.994024,"(-73.994023999999996, 40.744120600000002)"
184,"141 WEST 26TH STREET, New York, NY",40.745704700000005,-73.9929052,"(-73.992905199999996, 40.745704700000005)"
185,"500 WEST 30TH STREET, New York, NY",40.752109999999995,-74.0016497,"(-74.001649700000002, 40.752109999999995)"
186,"223 WEST 14 STREET, New York, NY",40.739220399999994,-74.00060090000001,"(-74.000600900000009, 40.739220399999994)"
187,"219 WEST 14 STREET, New York, NY",40.739160600000005,-74.0004371,"(-74.000437099999999, 40.739160600000005)"
188,"520 WEST 19TH STREET, New York, NY",40.7455766,-74.0070157,"(-74.007015699999997, 40.7455766)"
189,"100 11TH AVENUE, New York, NY",40.7460874,-74.0076191,"(-74.007619099999999, 40.7460874)"
190,"505 WEST 19TH STREET, New York, NY",40.7455331,-74.0061877,"(-74.006187699999998, 40.745533100000003)"
191,"120 11TH AVENUE, New York, NY",40.746928100000005,-74.007586,"(-74.007586000000003, 40.746928100000005)"
192,"525 WEST 22ND STREET, New York, NY",40.7476234,-74.00572629999999,"(-74.005726299999992, 40.747623400000002)"
193,"555 WEST 23RD STREET, New York, NY",40.748696,-74.006062,"(-74.006062, 40.748696000000002)"
194,"555 WEST 23, New York, NY",40.748696,-74.006062,"(-74.006062, 40.748696000000002)"
195,"231 10TH AVENUE, New York, NY",40.748248499999995,-74.0040812,"(-74.004081200000002, 40.748248499999995)"
196,"515 WEST 23RD STREET, New York, NY",40.748225899999994,-74.0046431,"(-74.004643099999996, 40.748225899999994)"
197,"200 11TH AVENUE, New York, NY",40.749334000000005,-74.006323,"(-74.006322999999995, 40.749334000000005)"
198,"508 WEST 24TH STREET, New York, NY",40.748487,-74.004583,"(-74.004582999999997, 40.748486999999997)"
199,"540 WEST 28TH STREET, New York, NY",40.7514683,-74.0037858,"(-74.003785800000003, 40.751468299999999)"
200,"450 WEST 17TH STREET, New York, NY",40.743531,-74.00674599999999,"(-74.006745999999993, 40.743530999999997)"
201,"450 WEST 17TH, New York, NY",40.743531,-74.00674599999999,"(-74.006745999999993, 40.743530999999997)"
202,"456 WEST 19TH STREET, New York, NY",40.744978700000004,-74.0057313,"(-74.005731299999994, 40.744978700000004)"
203,"444 WEST 19TH STREET, New York, NY",40.7446465,-74.00497109999999,"(-74.004971099999992, 40.744646500000002)"
204,"447 WEST 18TH STREET, New York, NY",40.7445286,-74.0056368,"(-74.005636800000005, 40.744528600000002)"
205,"459 WEST 18TH STREET, New York, NY",40.744597999999996,-74.005786,"(-74.005786000000001, 40.744597999999996)"
206,"445 WEST 19TH STREET, New York, NY",40.745084999999996,-74.004852,"(-74.004852, 40.745084999999996)"
207,"422 WEST 20TH STREET, New York, NY",40.744918,-74.00402690000001,"(-74.004026900000014, 40.744917999999998)"
208,"455 WEST 20TH STREET, New York, NY",40.745590500000006,-74.00433249999999,"(-74.00433249999999, 40.745590500000006)"
