StreetNum,StreetName,AptNum,ZipCode,Beds,Baths
270,WEST 17TH STREET ,2I,10011,1,1
330,WEST 17TH STREET ,1W,10011,1,1
261,WEST 22ND STREET ,24,10011,1,1
358,WEST 23RD STREET ,2C,10011,1,1
159,WEST 24TH STREET ,4B,10011,1,2
201,WEST 21ST STREET ,8K,10011,0,1
308,WEST 30TH STREET ,3B,10001,2,1
130,WEST 19TH STREET ,6B,10011,1,2
201,WEST 16TH STREET ,6E,10011,0,1
101,WEST 24TH STREET ,19H,10011,1,1
77,7TH AVENUE ,17U,10011,0,1
235,WEST 18TH STREET ,1FW,10011,1,1
252,WEST 30TH STREET ,6B,10001,3,1
340,WEST 19TH STREET ,22,10011,2,1
101,WEST 24TH STREET ,18D,10011,2,2
308,WEST 30TH STREET ,5A,10001,2,1
101,WEST 24TH STREET ,31E,10011,2,2
140,7TH AVENUE ,3R,10011,1,1
252,7TH AVENUE ,12L,10001,1,1
166,WEST 22ND STREET ,4B,10011,0,1
100,WEST 18TH STREET ,5B,10011,1,1
313,WEST 22ND STREET ,LC,10011,2,2
300,WEST 23RD STREET ,3I,10011,0,1
85,8TH AVENUE ,5H,10011,0,1
125,WEST 21ST STREET ,4B,10011,1,2
133,WEST 22ND STREET ,11E,10011,2,2
161,WEST 16TH STREET ,7B,10011,0,1
161,WEST 16TH STREET ,7C,10011,0,1
161,WEST 15TH STREET ,2A,10011,2,2
130,WEST 17TH STREET ,6N,10011,2,2
201,WEST 21ST STREET ,5A,10011,0,1
224,WEST 18TH STREET ,5B,10011,2,2
77,7TH AVENUE ,4H,10011,1,1
161,9TH AVENUE ,1A,10011,2,2
261,WEST 22ND STREET ,18,10011,1,1
270,WEST 17TH STREET ,3F,10011,1,1
140,WEST 23RD STREET,,10011,0,1
(UNDISCLOSED,,ADDRESS),10011,1,1
235,WEST 18TH STREET ,2FW,10011,1,1
170,WEST 23RD STREET ,4V,10011,1,1
261,WEST 22ND STREET ,5,10011,1,1
133,WEST 22ND STREET ,8C,10011,1,1
125,WEST 22ND STREET ,2B,10011,2,3
310,EAST 23RD STREET ,10F,10010,2,1
161,WEST 15TH STREET ,4I,10011,1,1
360,WEST 22ND STREET ,15B,10011,3,2
252,WEST 30TH STREET ,4B,10001,2,2
101,WEST 24TH STREET ,31B,10011,2,2
264,WEST 22ND STREET ,20,10011,1,1
310,EAST 23RD STREET ,11E,10010,0,1
252,7TH AVENUE ,15N,10001,3,3
200,WEST 20TH STREET ,806,10011,0,1
66,9TH AVENUE ,2W,10011,2,2
170,WEST 23RD STREET ,4R,10011,0,1
162,9TH AVENUE ,GARDEN-B,10011,1,1
77,7TH AVENUE ,6L,10011,1,1
213,WEST 23RD STREET ,6N,10011,3,3
214,WEST 16TH STREET ,3S,10011,1,1
66,9TH AVENUE ,9E,10011,3,3
207,WEST 21ST STREET ,2,10011,1,1
101,WEST 12TH STREET RET,21H,10011,1,1
224,WEST 18TH STREET ,2C,10011,1,1
250,WEST 15TH STREET ,5I,10011,1,1
346,WEST 22ND STREET ,2,10011,3,2
261,WEST 22ND STREET ,33,10011,2,1
130,WEST 19TH STREET ,11B,10011,2,2
77,7TH AVENUE ,7K,10011,1,1
315,WEST 23RD STREET ,2B,10011,2,1
245,WEST 19TH STREET ,PH1,10011,2,3
270,WEST 17TH STREET ,6B,10011,2,2
125,WEST 21ST STREET ,8E,10011,2,2
165,WEST 20TH STREET ,3K,10011,0,1
250,WEST 16TH STREET ,3C,10011,1,1
201,WEST 21ST STREET ,3E,10011,0,1
101,WEST 24TH STREET ,6C,10011,1,1
365,WEST 20TH STREET ,5C,10011,2,1
261,WEST 25TH STREET  PENTHOUSE,B,10001,3,3
130,WEST 30TH STREET ,10C,10001,3,3
261,WEST 28TH STREET ,5E,10001,2,3
201,WEST 21ST STREET ,5D,10011,0,1
313,WEST 20TH STREET,,10011,8,4
368,WEST 23RD STREET ,2F,10011,2,1
201,WEST 16TH STREET ,10A,10011,2,2
241,WEST 17TH STREET,,10011,6,5
300,WEST 23RD STREET ,3B,10011,0,1
250,WEST 15TH STREET ,I,10011,1,1
368,WEST 23RD STREET ,5R,10011,1,2
305,WEST 18TH STREET ,2K,10011,1,1
318,WEST 15TH STREET ,2A,10011,1,1
133,WEST 22ND STREET ,2J,10011,1,1
155,WEST 15TH STREET ,2F,10011,0,1
300,WEST 23RD STREET ,5L,10011,0,1
231,WEST 21ST STREET ,1A,10011,2,1
330,WEST 17TH STREET ,4E,10011,1,1
131,WEST 24TH STREET ,2,10011,3,2
365,WEST 20TH STREET ,9C,10011,2,1
162,9TH AVENUE ,3A,10011,1,1
101,WEST 24TH STREET ,15C,10001,1,1
252,WEST 30TH STREET ,10A,10001,2,1
360,WEST 21ST STREET ,1A,10011,1,1
250,WEST 24TH STREET ,5FW,10011,1,1
77,7TH AVENUE ,17J,10011,1,1
212,WEST 18TH STREET ,15B,10011,4,5
357,WEST 17TH STREET,,10011,5,1
101,WEST 24TH STREET ,31D,10011,2,2
142,WEST 26TH STREET ,9,10001,4,3
121,WEST 19TH STREET ,5D,10011,1,1
365,WEST 19TH STREET ,3F,10011,1,1
66,9TH AVENUE ,5E,10011,3,3
130,WEST 19TH STREET ,PH2B,10011,3,3
100,WEST 18TH STREET ,4D,10011,2,3
252,7TH AVENUE ,7W,10001,1,2
121,WEST 19TH STREET ,8F,10011,1,1
192,8TH AVENUE ,4,10011,2,2
144,WEST 27TH STREET  RM,5R,10001,2,3
101,WEST 24TH STREET ,8E,10011,2,2
319,WEST 18TH STREET ,5F,10011,0,1
166,WEST 22ND STREET ,1-F,10011,0,1
252,7TH AVENUE ,3E,10001,2,2
255,WEST 23RD STREET ,2CE,10011,1,1
101,WEST 24TH STREET ,7B,10011,1,1
315,WEST 23RD STREET ,2D,10011,2,2
201,WEST 21ST STREET ,15B,10011,0,1
309,WEST 20TH STREET ,5F,10011,1,1
144,WEST 18TH STREET ,4N,10011,2,2
133,WEST 22ND STREET ,8F,10011,2,2
150,WEST 26TH STREET ,802,10001,2,2
231,WEST 26TH STREET ,6,10001,2,2
231,WEST 26TH STREET ,1,10001,1,2
291,7TH AVENUE ,8,10001,3,3
135,WEST 17TH STREET ,2B,10011,3,2
101,WEST 24TH STREET ,PH2A,10011,2,3
252,WEST 30TH STREET ,6A,10001,2,2
121,WEST 19TH STREET ,7D,10011,1,1
181,7TH AVENUE ,7C,10011,1,1
313,WEST 22ND STREET,,10011,2,2
170,WEST 23RD STREET ,6S,10011,0,1
308,WEST 30TH STREET ,3D,10001,1,1
356,WEST 23RD STREET ,4B,10011,2,1
144,WEST 18TH STREET ,4E,10011,3,3
165,WEST 20TH STREET ,3L,10011,1,1
250,WEST 27TH STREET ,6B,10001,3,2
270,WEST 17TH STREET ,16E,10011,1,1
252,7TH AVENUE ,6RA,10001,4,4
253,WEST 18TH STREET,,10011,7,7
148,WEST 23RD STREET ,8A,10011,2,1
166,WEST 18TH STREET ,5C,10011,5,4
136,WEST 22ND STREET ,8,10011,3,2
121,WEST 19TH STREET ,3B,10011,3,2
201,WEST 21ST STREET ,8J,10011,1,1
166,22ND,#4D,10011,0,1
334,WEST 17TH STREET ,BSMT,10011,0,1
201,WEST 17TH STREET ,6D,10011,2,2
337,WEST 20TH STREET ,1A,10011,1,1
221,WEST 21ST STREET ,4B,10011,1,1
130,WEST 20TH STREET ,3D,10011,1,1
315,WEST 23RD STREET ,8F,10011,1,1
245,7TH AVENUE ,8B,10001,3,3
250,WEST 24TH STREET ,6FE,10011,1,1
101,WEST 24TH STREET ,12B,10011,2,2
250,WEST 24TH STREET ,2CE,10011,1,1
254,WEST 25TH STREET ,3D,10001,1,1
315,7TH AVENUE ,21C,10001,2,1
130,WEST 19TH STREET ,11C,10011,2,2
655,6TH AVENUE ,4G,10010,2,2
201,WEST 17TH STREET ,6C,10011,2,2
117,WEST 21ST STREET ,4,10011,3,4
117,WEST 21ST STREET ,4THFLR,10011,4,4
224,WEST 18TH STREET ,4A,10011,3,2
300,WEST 23RD STREET ,11A,10011,0,1
270,WEST 17TH STREET ,4K,10011,1,1
130,WEST 30TH STREET ,16B,10001,3,3
245,WEST 14TH STREET ,5AB,10011,3,3
255,WEST 23RD STREET ,5HW,10011,2,1
