Inc_ID,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,LEASED
6539,2018,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1583,12,D4,525,EAST 86TH STREET,14D,10028,0,0,0,0,0,1962,2,D4,1830000,5/30/2018,3,2,525 EAST 86TH STREET,"(-73.94584499999999, 40.775726)",0
3655,2017,UPPER WEST SIDE (59-79),13,CONDOS - ELEVATOR APARTMENTS      , ,1171,4639, ,1,WEST END AVENUE,House,10023,0,0,0,0,0,0,2,R4,1828371,10/26/2017,2,3,1 WEST END AVENUE,"(-73.990666, 40.7718029)",0
9711,2019,UPPER EAST SIDE (79-96),13,CONDOS - ELEVATOR APARTMENTS,2,1539,1497,R4,200,EAST 94TH STREET,1714,10128,0,0,0,0,"1,065",1986,2,R4,1828323,04/04/2019,2,2,200 EAST 94TH STREET,"(-73.949713, 40.783431)",0
3772,2018,UPPER WEST SIDE (59-79),13,CONDOS - ELEVATOR APARTMENTS,2,1171,4751,R4,1,WEST END AVENUE,House,10023,1,0,1,72099,938,2014,2,R4,1827813,3/26/2018,2,3,1 WEST END AVENUE,"(-73.990666, 40.7718029)",0
10329,2019,WASHINGTON HEIGHTS LOWER,3,THREE FAMILY DWELLINGS,1,2108,7,C0,944,SAINT NICHOLAS AVENUE,House,10032,3,0,3,"1,011","2,660",1899,1,C0,1827500,07/18/2019,5,4,944 SAINT NICHOLAS AVENUE,"(-73.940527, 40.8326726)",0
116,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,794,1021,R4,130,WEST 19TH STREET,House,10011,1,0,1,0,0,2005,2,R4,1825000,12/2/2015,2,4,130 WEST 19TH STREET,"(-73.9961936, 40.7409204)",0
243,2016,CLINTON                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,1090,1239,R4,635,WEST 42ND STREET,House,10036,1,0,1,0,0,2005,2,R4,1825000,11/30/2016,1,1,635 WEST 42ND STREET,"(-73.9996228, 40.7617008)",0
511,2019,HARLEM-CENTRAL,2,TWO FAMILY DWELLINGS,1,1718,133,B9,5,WEST 119TH STREET,House,10026,2,0,2,780,"2,224",1899,1,B9,1825000,08/19/2019,5,4,5 WEST 119TH STREET,"(-73.9453687, 40.80290479999999)",0
1153,2015,UPPER EAST SIDE (79-96)  ,10,COOPS - ELEVATOR APARTMENTS       ,2,1522,50,D4,1435,LEXINGTON AVENUE,7B,10128,0,0,0,0,0,1925,2,D4,1825000,7/9/2015,3,2,1435 LEXINGTON AVENUE,"(-73.9518942, 40.7841849)",0
1332,2019,UPPER WEST SIDE (59-79),9,COOPS - WALKUP APARTMENTS,2C,1185,7,C6,325,WEST 75TH STREET,2,10023,0,0,0,0,0,1915,2,C6,1825000,02/14/2019,3,2,325 WEST 75TH STREET,"(-73.984088, 40.782452)",0
6109,2018,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1497,21,D4,35,EAST 85TH STREET,16B,10028,0,0,0,0,0,1959,2,D4,1825000,7/2/2018,2,2,35 EAST 85TH STREET,"(-73.95912120000001, 40.7801133)",0
6216,2018,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1513,9,D4,119,EAST 84TH STREET,2A,10028,0,0,0,0,0,1926,2,D4,1825000,11/6/2018,2,2,119 EAST 84TH STREET,"(-73.957104, 40.778661)",0
6217,2019,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1513,9,D4,119,EAST 84TH STREET,2A,10028,0,0,0,0,0,1926,2,D4,1825000,11/06/2018,2,2,119 EAST 84TH STREET,"(-73.957104, 40.778661)",0
7762,2019,FASHION,10,COOPS - ELEVATOR APARTMENTS,2,839,63,D0,28,WEST 38TH STREET,9E,10018,0,0,0,0,0,1910,2,D0,1825000,05/31/2019,1,1,28 WEST 38TH STREET,"(-73.9842655, 40.7513594)",0
7892,2019,FLATIRON,13,CONDOS - ELEVATOR APARTMENTS,2,856,1328,R4,15,EAST 26TH STREET,12C,10010,0,0,0,0,"1,180",1912,2,R4,1825000,08/01/2019,1,2,15 EAST 26TH STREET,"(-73.9870705, 40.7432963)",0
8270,2019,GREENWICH VILLAGE-WEST,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,630,1003,R1,692,GREENWICH STREET,3,10014,0,0,0,0,"1,563",1915,2,R1,1825000,04/12/2019,1,1,692 GREENWICH STREET,"(-74.0076797, 40.733255299999996)",0
8902,2019,SOHO,10,COOPS - ELEVATOR APARTMENTS,2,483,13,D0,514,BROADWAY,5G,10012,0,0,0,0,0,1900,2,D0,1825000,05/02/2019,1,1,514 BROADWAY,"(-73.9988505, 40.7224906)",0
8933,2019,SOHO,13,CONDOS - ELEVATOR APARTMENTS,2,520,1025,R4,29,KING STREET,3H,10014,0,0,0,0,715,1886,2,R4,1825000,02/25/2019,2,1,29 KING STREET,"(-74.0040989, 40.7279598)",0
9245,2019,UPPER EAST SIDE (59-79),13,CONDOS - ELEVATOR APARTMENTS,2,1375,1297,R4,530,PARK AVENUE,17J,10065,0,0,0,0,912,1941,2,R4,1825000,08/27/2019,1,1,530 PARK AVENUE,"(-73.9694649, 40.7642543)",0
9605,2019,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1569,16,D4,1725,YORK AVENUE,16F,10128,0,0,0,0,0,1971,2,D4,1825000,08/14/2019,3,2,1725 YORK AVENUE,"(-73.94594740000001, 40.7782664)",0
3654,2017,UPPER WEST SIDE (59-79),13,CONDOS - ELEVATOR APARTMENTS      , ,1171,4644, ,1,WEST END AVENUE,House,10023,0,0,0,0,0,0,2,R4,1823280,11/27/2017,2,3,1 WEST END AVENUE,"(-73.990666, 40.7718029)",0
3277,2017,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS       ,2,1467,1,D4,399,EAST 72ND STREET,12AB,10021,0,0,0,0,0,1961,2,D4,1822300,9/29/2017,2,2,399 EAST 72ND STREET,"(-73.95549759999999, 40.7678227)",0
1697,2016,UPPER WEST SIDE (96-116) ,13,CONDOS - ELEVATOR APARTMENTS      ,2,1882,1155,R4,545,WEST 110TH STREET,House,10025,1,0,1,0,0,2005,2,R4,1820000,6/30/2016,3,3,545 WEST 110TH STREET,"(-73.96607259999999, 40.804206799999996)",0
8875,2019,MURRAY HILL,13,CONDOS - ELEVATOR APARTMENTS,2,915,1225,R4,225,EAST 34TH STREET,15B,10016,0,0,0,0,"1,431",0,2,R4,1820000,04/15/2019,2,2,225 EAST 34TH STREET,"(-73.97669300000001, 40.745389700000004)",0
8876,2019,MURRAY HILL,13,CONDOS - ELEVATOR APARTMENTS,2,915,1225,R4,225,EAST 34TH STREET,15B,10016,0,0,0,0,"1,431",0,2,R4,1820000,04/15/2019,2,2,225 EAST 34TH STREET,"(-73.97669300000001, 40.745389700000004)",0
9125,2019,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1409,40,D4,196,EAST 75TH STREET,17B,10021,0,0,0,0,0,1961,2,D4,1816425,04/09/2019,2,2,196 EAST 75TH STREET,"(-73.9595938, 40.7717341)",0
2532,2017,GREENWICH VILLAGE-CENTRAL,9,COOPS - WALKUP APARTMENTS        ,2C,521,70,C6,302,ELIZABETH STREET,2,10012,0,0,0,0,0,1900,2,C6,1815000,2/27/2017,2,2,302 ELIZABETH STREET,"(-73.9929994, 40.72508679999999)",0
8482,2019,MANHATTAN VALLEY,13,CONDOS - ELEVATOR APARTMENTS,2,1833,1362,R4,382,CENTRAL PARK WEST,18P,10025,0,0,0,0,"1,141",1961,2,R4,1812500,05/28/2019,2,2,382 CENTRAL PARK WEST,"(-73.9656011, 40.7935585)",0
9058,2019,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1381,38,D4,650,PARK AVENUE,8C,10065,0,0,0,0,0,1962,2,D4,1811500,06/27/2019,2,3,650 PARK AVENUE,"(-73.96659620000001, 40.767744)",0
