Address,latitude,longitude
"312 WEST 23RD STREET, New York, NY",40.7453292,-73.9992088
"344 WEST 23RD STREET, New York, NY",40.7457711,-74.0003373
"305 WEST 22ND STREET, New York, NY",40.7449994,-73.999387
"322 WEST 23RD STREET, New York, NY",40.7454891,-73.9995329
"350 WEST 23RD STREET, New York, NY",40.745865,-74.000579
"360 WEST 28TH STREET, New York, NY",40.7493327,-73.9985095
"308 WEST 30TH STREET, New York, NY",40.7498367,-73.9960686
"270 WEST 17TH STREET, New York, NY",40.7412309,-74.0010072
"224 WEST 18TH STREET, New York, NY",40.7413651,-73.9992724
"212 WEST 18TH STREET, New York, NY",40.7412267,-73.9987741
"270 WEST 19TH STREET, New York, NY",40.7423872,-73.9997154
"210 WEST 19 STREET, New York, NY",40.7417597,-73.9982003
"210 WEST 19TH STREET, New York, NY",40.7417597,-73.9982003
"140 7TH AVENUE, New York, NY",40.7414862,-73.9979592
"251 WEST 19TH STREET, New York, NY",40.742607,-73.9991293
"200 WEST 24TH STREET, New York, NY",40.74483,-73.9956094
"213 WEST 23RD STREET, New York, NY",40.7445521,-73.9963339
"252 7 AVENUE, New York, NY",40.7452249,-73.9950853
"252 SEVENTH AVENUE, New York, NY",40.7452249,-73.9950853
"135 WEST 16TH STREET, New York, NY",40.7395726,-73.997357
"127 7TH AVENUE, New York, NY",40.7407806,-73.9977154
"112 WEST 18TH STREET, New York, NY",40.7400104,-73.9958541
"127 7 AVENUE, New York, NY",40.7407806,-73.9977154
"151 WEST 17TH STREET, New York, NY",40.7402721,-73.9974954
"100 WEST 18TH STREET, New York, NY",40.7399548,-73.9956422
"144 WEST 18TH STREET, New York, NY",40.7404789,-73.9970423
"163 WEST 18TH STREET, New York, NY",40.7409375,-73.9971896
"130 WEST 19TH STREET, New York, NY",40.7409204,-73.9961936
"165 WEST 18TH STREET, New York, NY",40.740746,-73.9975868
"130 WEST 20 STREET, New York, NY",40.7414787,-73.9956975
"130 WEST 20TH STREET, New York, NY",40.7414787,-73.9956975
"121 WEST 19TH STREET, New York, NY",40.741057,-73.9955827
"181 7TH AVENUE, New York, NY",40.7424515,-73.996531
"181 SEVENTH AVENUE, New York, NY",40.7424515,-73.996531
"129 WEST 20TH STREET, New York, NY",40.7417868,-73.9953832
"655 6TH AVENUE, New York, NY",40.741424,-73.9941961
"655 6TH AVE, New York, NY",40.741424,-73.9941961
"140 WEST 22ND STREET, New York, NY",40.7427833,-73.9950623
"151 WEST 21ST STREET, New York, NY",40.742603,-73.995492
"125 WEST 21 STREET, New York, NY",40.7421908,-73.994695
"125 WEST 22ND STREET, New York, NY",40.7428417,-73.9942169
"170 WEST 23RD STREET, New York, NY",40.743773,-73.9954779
"133 WEST 22ND STREET, New York, NY",40.7430565,-73.9947104
"124 WEST 23RD STREET, New York, NY",40.7430937,-73.993884
"124 WEST 24TH STREET, New York, NY",40.7439229,-73.9937052
"159 WEST 24TH STREET, New York, NY",40.7448219,-73.9944632
"101 WEST 24TH STREET, New York, NY",40.7439433,-73.9923513
"101 WEST 24TH, New York, NY",40.7439433,-73.9923513
"245 7 AVENUE, New York, NY",40.744832,-73.994776
"110 WEST 25TH STREET, New York, NY",40.7442656,-73.992583
"144 WEST 27TH STREET, New York, NY",40.7460315,-73.9929493
"291 7 AVENUE, New York, NY",40.7462287,-73.9938293
"315 7 AVENUE, New York, NY",40.7469616,-73.993224
"315 7TH AVE, New York, NY",40.7469616,-73.993224
"315 SEVENTH AVENUE, New York, NY",40.7469616,-73.993224
